Date_Column,TARGET,STOCK_PRICE_Open,VIX_Open,NASDAQ_Open,DOW_Open,SP_Open,Mkt-RF,SMB,HML,RMW,CMA,RF
2015-01-02,0.00455708845745677,195.3000030517578,17.760000228881836,4760.240234375,6480.5,2058.89990234375,-0.93,0.47,-0.39,-0.13,-0.21,0.0
2015-01-05,0.02444836465550355,193.05999755859375,19.190000534057617,4700.33984375,6466.68017578125,2054.43994140625,-0.12,-0.56,0.09,-0.26,0.1,0.0
2015-01-06,0.0200212650629893,188.3000030517578,20.329999923706055,4666.85009765625,6344.9501953125,2022.1500244140625,-1.84,0.25,-0.65,0.16,-0.12,0.0
2015-01-07,-0.0023012719386427656,186.85000610351562,20.149999618530273,4626.83984375,6294.43017578125,2005.550048828125,-1.04,-0.78,-0.26,0.54,0.04,0.0
2015-01-08,-0.0048587173978878,189.35000610351562,17.93000030517578,4689.5400390625,6360.60986328125,2030.6099853515625,1.19,0.16,-0.62,0.24,-0.14,0.0
2015-01-09,0.01643211725235729,190.47999572753906,16.440000534057617,4744.47021484375,6468.4501953125,2063.449951171875,1.81,-0.1,-0.29,0.1,-0.2,0.0
2015-01-12,0.012222423562515143,187.36000061035156,18.020000457763672,4714.06982421875,6410.27001953125,2046.1300048828125,-0.85,-0.02,-0.49,-0.12,-0.18,0.0
2015-01-13,0.008843440556761787,186.5800018310547,18.209999084472656,4708.740234375,6377.240234375,2031.5799560546875,-0.79,0.35,-0.41,0.17,0.19,0.0
2015-01-14,0.005243387717440701,181.17999267578125,22.8700008392334,4610.759765625,6355.68994140625,2018.4000244140625,-0.19,0.26,0.0,0.45,0.03,0.0
2015-01-15,0.009379438624232699,180.17999267578125,21.229999542236328,4657.4599609375,6325.43994140625,2013.75,-0.6,0.28,-0.55,0.2,-0.14,0.0
2015-01-16,-0.0028291745152919006,176.72999572753906,22.799999237060547,4566.3798828125,6298.509765625,1992.25,-1.08,-0.94,0.62,0.7,0.6,0.0
2015-01-20,0.010925282206381108,177.57000732421875,20.06999969482422,4655.83984375,6373.81982421875,2020.760009765625,1.36,0.5,-0.17,-0.31,-0.1,0.0
2015-01-21,-0.014895392719962368,174.5500030517578,20.920000076293945,4641.9501953125,6390.009765625,2020.18994140625,0.11,-0.75,-0.49,0.03,-0.51,0.0
2015-01-22,-0.018063843026901415,178.80999755859375,17.979999542236328,4690.93017578125,6423.580078125,2034.300048828125,0.42,-0.92,0.57,0.2,-0.01,0.0
2015-01-23,0.005180991129162211,181.42999267578125,16.790000915527344,4748.18994140625,6516.77001953125,2062.97998046875,1.58,0.45,0.42,0.03,-0.12,0.0
2015-01-26,-0.009512068803887507,178.72000122070312,16.959999084472656,4752.35986328125,6458.7001953125,2050.419921875,-0.47,0.44,-0.76,-0.04,-0.58,0.0
2015-01-27,0.004231550308933649,177.24000549316406,17.600000381469727,4698.22998046875,6460.39990234375,2047.8599853515625,0.43,0.57,-0.05,-0.42,-0.09,0.0
2015-01-28,0.026332036168817,177.72999572753906,16.969999313354492,4740.68994140625,6401.72998046875,2032.3399658203125,-1.21,0.75,0.22,-0.37,0.51,0.0
2015-01-29,-0.01622596683349892,173.17999267578125,20.459999084472656,4635.72998046875,6320.16015625,2002.449951171875,-1.39,-0.18,-0.79,0.53,-0.18,0.0
2015-01-30,0.00987768433051309,174.1300048828125,20.229999542236328,4671.2099609375,6385.3798828125,2019.3499755859375,0.98,0.2,0.01,0.06,-0.35,0.0
2015-02-02,-0.01445170195164131,172.99000549316406,20.889999389648438,4650.60009765625,6275.81005859375,1996.6700439453125,-1.3,-0.82,0.02,-0.17,-0.44,0.0
2015-02-03,-0.024032788582149738,176.00999450683594,18.40999984741211,4693.25,6345.39990234375,2022.7099609375,1.25,-0.39,0.98,0.05,0.18,0.0
2015-02-04,-0.00033570701759149166,178.72000122070312,17.81999969482422,4699.81005859375,6425.1201171875,2048.860107421875,1.49,0.25,0.47,0.07,0.43,0.0
2015-02-05,-0.007411958386976627,179.44000244140625,17.290000915527344,4729.64990234375,6419.77001953125,2043.449951171875,-0.35,-0.1,-0.21,0.33,-0.14,0.0
2015-02-06,-0.007580277950509558,182.0500030517578,16.290000915527344,4768.83984375,6484.080078125,2062.280029296875,1.1,0.44,-0.1,-0.52,-0.2,0.0
2015-02-09,-0.002917049767049213,181.69000244140625,19.15999984741211,4723.72998046875,6419.97021484375,2053.469970703125,-0.2,0.07,0.38,-0.2,-0.09,0.0
2015-02-10,-0.006599353230427431,183.35000610351562,17.719999313354492,4754.6298828125,6378.18017578125,2049.3798828125,-0.46,-0.36,0.09,-0.03,-0.01,0.0
2015-02-11,-0.019449048893445627,184.07000732421875,17.43000030517578,4788.3701171875,6438.85986328125,2068.550048828125,1.05,-0.36,-0.68,0.09,-0.45,0.0
2015-02-12,-0.008127483555361886,188.25,16.389999389648438,4828.080078125,6419.39990234375,2069.97998046875,0.03,-0.17,-0.33,0.06,-0.07,0.0
2015-02-13,0.0045820568787108265,189.8699951171875,15.109999656677246,4869.72998046875,6452.0,2088.780029296875,1.0,0.19,-0.07,-0.16,-0.17,0.0
2015-02-17,-0.006568521565749959,188.77999877929688,15.850000381469727,4889.990234375,6449.22021484375,2096.469970703125,0.47,0.15,-0.29,-0.31,-0.21,0.0
2015-02-18,0.00459003454682063,189.5399932861328,16.739999771118164,4890.83984375,6455.72998046875,2099.159912109375,0.17,-0.01,-0.06,-0.2,-0.16,0.0
2015-02-19,-0.007619394663130998,187.67999267578125,16.110000610351562,4901.509765625,6482.919921875,2099.25,0.03,0.24,-0.81,0.3,-0.17,0.0
2015-02-20,-0.016777214233715546,188.35000610351562,15.729999542236328,4919.77978515625,6460.77978515625,2097.64990234375,-0.01,0.21,-0.43,-0.05,-0.39,0.0
2015-02-23,0.0022544192208578057,190.74000549316406,15.050000190734863,4953.10009765625,6505.25,2109.830078125,0.61,-0.43,-0.27,-0.06,-0.11,0.0
